fit,bedankt voor het maken van onze quiz! Op basis van jouw antwoorden scoorde je hoog op Forensisch ICT. Dit betekent dat je interesse ligt bij het onderzoeken van data en het veilig maken van het internet. We hopen dat dit je gaat helpen bij je keuze!
bdm,bedankt voor het maken van onze quiz! Op basis van jouw antwoorden scoorde je hoog op Business Data and Management. Dit betekent dat je interesse ligt bij artificial intelligence en het gebruiken van grote hoeveelheden data. We hopen dat dit je gaat helpen bij je keuze!
se,bedankt voor het maken van onze quiz! Op basis van jouw antwoorden scoorde je hoog op Software Engineering. Dit betekent dat je interesse ligt bij het maken van geoptimaliseerde software en het leren van nieuwe programmeertalen. We hopen dat dit je gaat helpen bij je keuze!
git,bedankt voor het maken van onze quiz! Op basis van jouw antwoorden scoorde je hoog op Gebruikers-interactie. Dit betekent dat je interesse ligt bij het maken van programmas die de gebruiker snapt. We hopen dat dit je gaat helpen bij je keuze!
